reference_product,n_locations,n_distinct_structures,identical_structure,max_coefficient_of_variation,sector,bucket
"Transport, passenger car, compressed gas, Medium, 2008, EURO-4",2,1,True,0.5054849679583595,04-transport,template-with-variation
"Transport, passenger car, compressed gas, Medium, 2013, EURO-5",2,1,True,0.5050324576101168,04-transport,template-with-variation
"Transport, passenger car, compressed gas, Medium, 2016, EURO-6ab",2,1,True,0.5041047130562103,04-transport,template-with-variation
"Transport, passenger car, compressed gas, Medium, 2018, EURO-6c",2,1,True,0.5061389208452526,04-transport,template-with-variation
"Transport, passenger car, compressed gas, Medium, 2019, EURO-6d-TEMP",2,1,True,0.5056119319681865,04-transport,template-with-variation
"Transport, passenger car, compressed gas, Medium, 2021, EURO-6d",2,1,True,0.505446228287465,04-transport,template-with-variation
"Transport, passenger car, compressed gas, Large SUV, 2019, EURO-6d-TEMP",2,1,True,0.5069378047150593,04-transport,template-with-variation
"Transport, passenger car, compressed gas, Large SUV, 2016, EURO-6ab",2,1,True,0.5048889392787156,04-transport,template-with-variation
"Transport, passenger car, compressed gas, 100% biomethane, Medium, 2008, EURO-4",2,1,True,0.0,04-transport,trivial-template
"Transport, passenger car, compressed gas, Large SUV, 2013, EURO-5",2,1,True,0.5062704583356544,04-transport,template-with-variation
"Transport, passenger car, compressed gas, 100% biomethane, Medium, 2013, EURO-5",2,1,True,0.0,04-transport,trivial-template
"Transport, passenger car, compressed gas, 100% biomethane, Medium, 2016, EURO-6ab",2,1,True,0.0,04-transport,trivial-template
"Transport, passenger car, compressed gas, 100% biomethane, Medium, 2018, EURO-6c",2,1,True,0.0,04-transport,trivial-template
"Transport, passenger car, compressed gas, 100% biomethane, Medium, 2019, EURO-6d-TEMP",2,1,True,0.0,04-transport,trivial-template
"Transport, passenger car, compressed gas, 100% biomethane, Medium, 2021, EURO-6d",2,1,True,0.0,04-transport,trivial-template
"Transport, passenger car, compressed gas, Compact, 2003, EURO-3",2,1,True,0.5059898727923923,04-transport,template-with-variation
"Transport, passenger car, compressed gas, Compact, 2008, EURO-4",2,1,True,0.5052892181584601,04-transport,template-with-variation
"Transport, passenger car, compressed gas, Compact, 2013, EURO-5",2,1,True,0.5053217288761565,04-transport,template-with-variation
"Transport, passenger car, compressed gas, Compact, 2016, EURO-6ab",2,1,True,0.5059018128082412,04-transport,template-with-variation
"Transport, passenger car, compressed gas, Compact, 2018, EURO-6c",2,1,True,0.5056284560260711,04-transport,template-with-variation
"Transport, passenger car, compressed gas, Compact, 2019, EURO-6d-TEMP",2,1,True,0.5062642495599193,04-transport,template-with-variation
"Transport, passenger car, compressed gas, Compact, 2021, EURO-6d",2,1,True,0.5052410265577418,04-transport,template-with-variation
"Transport, passenger car, compressed gas, Large SUV, 2003, EURO-3",2,1,True,0.5063873998388764,04-transport,template-with-variation
"Transport, passenger car, diesel, fleet average",2,2,False,,04-transport,variable-mix
"Transport, passenger car, compressed gas, Large SUV, 2008, EURO-4",2,1,True,0.5064146353983628,04-transport,template-with-variation
"Transport, passenger car, diesel, Medium, 2021, EURO-6d",2,1,True,0.009636111919419543,04-transport,trivial-template
"Transport, passenger car, gasoline, Large SUV, 2021, EURO-6d",2,1,True,0.21714243693893345,04-transport,template-with-variation
"Transport, passenger car, fleet average",2,2,False,,04-transport,variable-mix
"Uranium natural, at open pit mine",2,2,False,,05-energy,variable-mix
"Transport, passenger car, plugin gasoline hybrid, Medium, 2019, EURO-6d-TEMP",2,2,False,,04-transport,variable-mix
"Transport, passenger car, plugin gasoline hybrid, Medium, 2021, EURO-6d",2,2,False,,04-transport,variable-mix
"Triazine-compounds, at regional storehouse",2,2,False,,03-chemicals,variable-mix
"U enriched 4.0%, in fuel element for LWR, at nuclear fuel fabrication plant",2,2,False,,05-energy,variable-mix
"Underground mine, hard coal",2,2,False,,05-energy,variable-mix
Uranium conversion plant,2,2,False,,05-energy,variable-mix
"Uranium natural, at underground mine",2,2,False,,05-energy,variable-mix
